Class;scope;name
model\Folder;Field;NULL;folderPath
model\Folder;Field;string;folderPath
model\Folder;Parameter;string;folderPath
model\Folder;Parameter;model\File;path
model\Folder;Parameter;model\PHPCode;content
model\Folder;Parameter;model\File;file
model\URL;Field;string;url
model\URL;Parameter;string;strText
controller\EditProject;Field;view\ProjectView;view
controller\EditProject;Field;model\Folder;srcFileTree
controller\EditProject;Field;model\Folder;testFileTree
controller\EditProject;Field;controller\EditClass;ide
controller\EditProject;Field;model\URL;projectUrl
controller\EditProject;Field;model\URL;ideUrl
controller\EditProject;Parameter;model\Folder;sourcePath
controller\EditProject;Parameter;model\URL;projectUrl
controller\EditProject;Parameter;model\URL;ideUrl
view\IDEView;Field;boolean;doRunCode
view\IDEView;Field;test\TestRunnerView;testView
view\IDEView;Parameter;model\PHPCode;code
view\IDEView;Parameter;model\PHPCode;tests
view\IDEView;Parameter;model\File;file
view\IDEView;Parameter;model\Folder;sourceFolder
view\IDEView;Parameter;model\URL;ideURL
controller\EditClass;Parameter;model\Folder;source
controller\EditClass;Parameter;model\Folder;tests
controller\EditClass;Parameter;model\PHPCode;tests
controller\EditClass;Parameter;model\PHPCode;code
controller\EditClass;Parameter;model\File;fileName
controller\EditClass;Parameter;model\URL;ideURL
controller\EditClass;Field;view\IDEView;view
controller\EditClass;Field;model\Folder;source
controller\EditClass;Field;model\Folder;tests
login\model\LoginModel;Field;string;loggedInUser
login\model\LoginModel;Field;NULL;allUsers
login\model\LoginModel;Field;login\model\UserList;allUsers
login\model\LoginModel;Parameter;login\model\UserCredentials;fromClient
login\model\LoginModel;Parameter;login\view\LoginView;observer
login\model\LoginModel;Parameter;login\model\UserCredentials;info
login\controller\LoginController;Field;NULL;model
login\controller\LoginController;Field;login\model\LoginModel;model
login\controller\LoginController;Field;NULL;view
login\controller\LoginController;Field;login\view\LoginView;view
login\controller\LoginController;Parameter;login\view\LoginView;view
login\model\UserList;Field;NULL;adminFile
login\model\UserList;Field;common\model\PHPFileStorage;adminFile
login\model\UserList;Field;array;users
login\model\UserList;Parameter;login\model\UserCredentials;fromClient
login\model\UserList;Parameter;login\model\UserCredentials;changedUser
common\model\PHPFileStorage;Field;string;filePath
common\model\PHPFileStorage;Parameter;string;filePath
common\model\PHPFileStorage;Parameter;string;key
common\model\PHPFileStorage;Parameter;login\model\UserName;key
common\model\PHPFileStorage;Parameter;string;content
login\model\UserCredentials;Parameter;string;string
login\model\UserCredentials;Parameter;login\model\UserName;userName
login\model\UserCredentials;Parameter;login\model\Password;password
login\model\UserCredentials;Parameter;login\model\TemporaryPasswordServer;temporaryPassword
login\model\UserCredentials;Parameter;login\model\TemporaryPasswordClient;temporaryPassword
login\model\UserCredentials;Parameter;login\model\UserCredentials;other
login\model\UserCredentials;Field;login\model\UserName;userName
login\model\UserCredentials;Field;NULL;password
login\model\UserCredentials;Field;login\model\Password;password
login\model\UserCredentials;Field;NULL;temporaryPassword
login\model\UserCredentials;Field;login\model\TemporaryPasswordServer;temporaryPassword
login\model\UserCredentials;Field;login\model\TemporaryPasswordClient;temporaryPassword
common\Filter;Parameter;string;string
login\model\UserName;Parameter;string;string
login\model\UserName;Parameter;string;userName
login\model\UserName;Field;string;userName
login\model\Password;Parameter;string;encryptedPassword
login\model\Password;Parameter;string;string
login\model\Password;Parameter;string;cleartext
login\model\TemporaryPasswordServer;Field;NULL;temporaryPassword
login\model\TemporaryPasswordServer;Field;string;temporaryPassword
login\model\TemporaryPasswordServer;Field;integer;expireDate
login\model\TemporaryPasswordServer;Field;string;expireDate
login\model\TemporaryPasswordServer;Parameter;string;serverString
login\model\TemporaryPasswordServer;Parameter;login\model\TemporaryPasswordClient;fromCookie
common\model\DebugItem;Field;string;item
common\model\DebugItem;Field;NULL;object
common\model\DebugItem;Field;string;object
common\model\DebugItem;Field;NULL;debugBacktrace
common\model\DebugItem;Field;array;debugBacktrace
common\model\DebugItem;Field;NULL;calledFromFile
common\model\DebugItem;Field;string;calledFromFile
common\model\DebugItem;Parameter;string;string
common\model\DebugItem;Parameter;boolean;trace
common\model\DebugItem;Parameter;NULL;object
common\model\DebugItem;Parameter;string;object
common\model\DebugItem;Parameter;login\model\UserCredentials;object
Debug;Parameter;string;string
Debug;Parameter;boolean;trace
Debug;Parameter;string;object
Debug;Parameter;login\model\UserCredentials;object
login\view\LoginView;Field;string;LOGOUT
login\view\LoginView;Field;string;LOGIN
login\view\LoginView;Field;string;USERNAME
login\view\LoginView;Field;string;PASSWORD
login\view\LoginView;Field;string;CHECKED
login\view\LoginView;Field;string;message
login\view\LoginView;Parameter;login\model\TemporaryPasswordServer;tempCookie
login\model\TemporaryPasswordClient;Field;string;temporaryPassword
login\model\TemporaryPasswordClient;Parameter;string;cookieString
login\model\LoginInfo;Field;login\model\UserCredentials;user
login\model\LoginInfo;Field;NULL;ipAdress
login\model\LoginInfo;Field;string;ipAdress
login\model\LoginInfo;Field;NULL;userAgent
login\model\LoginInfo;Field;string;userAgent
login\model\LoginInfo;Parameter;login\model\UserCredentials;user
model\PHPCode;Field;string;code
model\PHPCode;Parameter;string;strText
model\File;Field;NULL;m_fileName
model\File;Field;string;m_fileName
model\File;Parameter;string;filename
view\ProjectView;Field;string;selectClass
view\ProjectView;Field;string;message
view\ProjectView;Parameter;model\Folder;srcFolder
view\ProjectView;Parameter;model\Folder;folder
view\ProjectView;Parameter;model\URL;baseURL
view\ProjectView;Parameter;string;parentFolder
test\TestRunnerView;Parameter;model\URL;ideURL
test\TestRunnerView;Parameter;string;file
test\TestRunnerView;Parameter;model\Folder;projectFolder
model\ClassParser;Field;array;phpKeyWords
model\ClassParser;Field;model\PHPCode;code
model\ClassParser;Field;array;statements
model\ClassParser;Parameter;model\PHPCode;code
model\ClassParser;Parameter;string;stringNodeName
model\ClassParser;Parameter;array;statements
model\ClassParser;Parameter;PHPParser_Node_Stmt_Namespace;statements
model\ClassParser;Parameter;PHPParser_Node_Name;statements
model\ClassParser;Parameter;PHPParser_Node_Expr_Include;statements
model\ClassParser;Parameter;PHPParser_Node_Scalar_String;statements
model\ClassParser;Parameter;PHPParser_Node_Stmt_Class;statements
model\ClassParser;Parameter;PHPParser_Node_Stmt_ClassMethod;statements
model\ClassParser;Parameter;PHPParser_Node_Expr_Assign;statements
model\ClassParser;Parameter;PHPParser_Node_Expr_Variable;statements
model\ClassParser;Parameter;PHPParser_Node_Expr_New;statements
model\ClassParser;Parameter;PHPParser_Node_Name_FullyQualified;statements
model\ClassParser;Parameter;PHPParser_Node_Arg;statements
model\ClassParser;Parameter;PHPParser_Node_Expr_ConstFetch;statements
model\ClassParser;Parameter;PHPParser_Node_Expr_MethodCall;statements
model\ClassParser;Parameter;PHPParser_Node_Expr_StaticCall;statements
model\ClassParser;Parameter;PHPParser_Node_Stmt_Return;statements
model\ClassParser;Parameter;PHPParser_Node_Stmt_Property;statements
model\ClassParser;Parameter;PHPParser_Node_Stmt_PropertyProperty;statements
model\ClassParser;Parameter;PHPParser_Node_Param;statements
model\ClassParser;Parameter;PHPParser_Node_Expr_PropertyFetch;statements
model\ClassParser;Parameter;PHPParser_Node_Expr_NotEqual;statements
model\ClassParser;Parameter;array;parts
PHPParser_Autoloader;Parameter;string;class
function;Parameter;string;class_name
PHPParser_Lexer;Field;NULL;code
PHPParser_Lexer;Field;model\PHPCode;code
PHPParser_Lexer;Field;NULL;tokens
PHPParser_Lexer;Field;array;tokens
PHPParser_Lexer;Field;NULL;pos
PHPParser_Lexer;Field;integer;pos
PHPParser_Lexer;Field;NULL;line
PHPParser_Lexer;Field;integer;line
PHPParser_Lexer;Field;NULL;tokenMap
PHPParser_Lexer;Field;array;tokenMap
PHPParser_Lexer;Field;NULL;dropTokens
PHPParser_Lexer;Field;array;dropTokens
PHPParser_Lexer;Parameter;model\PHPCode;code
PHPParser_Lexer;Parameter;NULL;value
PHPParser_Lexer;Parameter;string;value
PHPParser_Lexer;Parameter;array;startAttributes
PHPParser_Lexer;Parameter;NULL;endAttributes
PHPParser_Lexer;Parameter;array;endAttributes
PHPParser_Parser;Field;array;terminals
PHPParser_Parser;Field;array;translate
PHPParser_Parser;Field;array;yyaction
PHPParser_Parser;Field;array;yycheck
PHPParser_Parser;Field;array;yybase
PHPParser_Parser;Field;array;yydefault
PHPParser_Parser;Field;array;yygoto
PHPParser_Parser;Field;array;yygcheck
PHPParser_Parser;Field;array;yygbase
PHPParser_Parser;Field;array;yygdefault
PHPParser_Parser;Field;array;yylhs
PHPParser_Parser;Field;array;yylen
PHPParser_Parser;Field;NULL;yyval
PHPParser_Parser;Field;array;yyval
PHPParser_Parser;Field;PHPParser_Node_Stmt_Namespace;yyval
PHPParser_Parser;Field;PHPParser_Node_Scalar_String;yyval
PHPParser_Parser;Field;PHPParser_Node_Expr_Include;yyval
PHPParser_Parser;Field;integer;yyval
PHPParser_Parser;Field;boolean;yyval
PHPParser_Parser;Field;PHPParser_Node_Stmt_ClassMethod;yyval
PHPParser_Parser;Field;PHPParser_Node_Expr_Variable;yyval
PHPParser_Parser;Field;PHPParser_Node_Name_FullyQualified;yyval
PHPParser_Parser;Field;PHPParser_Node_Arg;yyval
PHPParser_Parser;Field;PHPParser_Node_Expr_New;yyval
PHPParser_Parser;Field;PHPParser_Node_Name;yyval
PHPParser_Parser;Field;PHPParser_Node_Expr_ConstFetch;yyval
PHPParser_Parser;Field;PHPParser_Node_Expr_Assign;yyval
PHPParser_Parser;Field;string;yyval
PHPParser_Parser;Field;PHPParser_Node_Expr_MethodCall;yyval
PHPParser_Parser;Field;PHPParser_Node_Expr_StaticCall;yyval
PHPParser_Parser;Field;PHPParser_Node_Stmt_Return;yyval
PHPParser_Parser;Field;PHPParser_Node_Stmt_Class;yyval
