FileName;scope;Type;Name;Match
UserList;Field;array;users;not matched
DebugItem;Field;array;debugBacktrace;not matched
ClassParser;Field;array;phpKeyWords;not matched
ClassParser;Field;array;statements;not matched
ClassParser;Parameter;array;statements;not matched
ClassParser;Parameter;array;parts;not matched
PHPParser_Lexer;Field;array;tokens;not matched
PHPParser_Lexer;Field;array;tokenMap;not matched
PHPParser_Lexer;Field;array;dropTokens;not matched
PHPParser_Lexer;Parameter;array;startAttributes;not matched
PHPParser_Lexer;Parameter;array;endAttributes;not matched
PHPParser_Parser;Field;array;terminals;not matched
PHPParser_Parser;Field;array;translate;not matched
PHPParser_Parser;Field;array;yyaction;not matched
PHPParser_Parser;Field;array;yycheck;not matched
PHPParser_Parser;Field;array;yybase;not matched
PHPParser_Parser;Field;array;yydefault;not matched
PHPParser_Parser;Field;array;yygoto;not matched
PHPParser_Parser;Field;array;yygcheck;not matched
PHPParser_Parser;Field;array;yygbase;not matched
PHPParser_Parser;Field;array;yygdefault;not matched
PHPParser_Parser;Field;array;yylhs;not matched
PHPParser_Parser;Field;array;yylen;not matched
PHPParser_Parser;Field;array;yyval;not matched
PHPParser_Parser;Field;array;yyastk;not matched
PHPParser_Parser;Parameter;array;attributes;not matched
PHPParser_Node_Stmt_Namespace;Parameter;array;stmts;not matched
PHPParser_Node_Stmt_Namespace;Parameter;array;attributes;not matched
PHPParser_Node_Stmt_Namespace;Field;array;specialNames;not matched
PHPParser_Node_Stmt_Namespace;Field;array;subNodes;not matched
PHPParser_Node_Stmt_Namespace;Field;array;attributes;not matched
MarkdownQuiz;Parameter;array;input;not matched
Quiz;Field;array;questions;not matched
TimerQuestion;Field;array;alternatives;not matched
MarkdownParser;Parameter;array;lines;not matched
TextParser;Parameter;array;lines;not matched
MultiChoiceParser;Parameter;array;lines;not matched
ExternalParser;Parameter;array;lines;not matched
QuizTitleParser;Parameter;array;lines;not matched
SingleChoiceParser;Parameter;array;lines;not matched
QuizParser;Parameter;array;lines;not matched
MultiChoiceQuestion;Field;array;alternatives;not matched
Input;Field;array;input;not matched
Input;Parameter;array;request;not matched
QuizAttempt;Field;array;questionAttempts;not matched
PHPParser_Node_Name;Field;array;subNodes;not matched
PHPParser_Node_Name;Field;array;attributes;not matched
PHPParser_Node_Name;Parameter;array;parts;not matched
PHPParser_Node_Name;Parameter;array;attributes;not matched
PHPParser_NodeAbstract;Parameter;array;subNodes;not matched
PHPParser_NodeAbstract;Parameter;array;attributes;not matched
PHPParser_NodeAbstract;Parameter;array;value;not matched
PHPParser_Node_Scalar_String;Parameter;array;attributes;not matched
PHPParser_Node_Scalar_String;Field;array;replacements;not matched
PHPParser_Node_Scalar_String;Field;array;subNodes;not matched
PHPParser_Node_Scalar_String;Field;array;attributes;not matched
PHPParser_Node_Expr_Include;Field;array;subNodes;not matched
PHPParser_Node_Expr_Include;Field;array;attributes;not matched
PHPParser_Node_Expr_Include;Parameter;array;attributes;not matched
PHPParser_Node_Stmt_ClassMethod;Field;array;subNodes;not matched
PHPParser_Node_Stmt_ClassMethod;Field;array;attributes;not matched
PHPParser_Node_Stmt_ClassMethod;Parameter;array;subNodes;not matched
PHPParser_Node_Stmt_ClassMethod;Parameter;array;attributes;not matched
PHPParser_Node_Expr_Variable;Field;array;subNodes;not matched
PHPParser_Node_Expr_Variable;Field;array;attributes;not matched
PHPParser_Node_Expr_Variable;Parameter;array;attributes;not matched
PHPParser_Node_Name_FullyQualified;Field;array;subNodes;not matched
PHPParser_Node_Name_FullyQualified;Field;array;attributes;not matched
PHPParser_Node_Arg;Field;array;subNodes;not matched
PHPParser_Node_Arg;Field;array;attributes;not matched
PHPParser_Node_Arg;Parameter;array;attributes;not matched
PHPParser_Node_Expr_New;Field;array;subNodes;not matched
PHPParser_Node_Expr_New;Field;array;attributes;not matched
PHPParser_Node_Expr_New;Parameter;array;args;not matched
PHPParser_Node_Expr_New;Parameter;array;attributes;not matched
PHPParser_Node_Expr_ConstFetch;Field;array;subNodes;not matched
PHPParser_Node_Expr_ConstFetch;Field;array;attributes;not matched
PHPParser_Node_Expr_ConstFetch;Parameter;array;attributes;not matched
PHPParser_Node_Expr_Assign;Field;array;subNodes;not matched
