FileName	LinesWithCode	LinesWithComments	EmptyLines	TotalLines	Characters
11681434.java	20	10	9	39	657
563408.java	27	31	17	70	1664
843756.java	4	1	3	7	166
1552801.java	265	40	63	364	15383
1765247.java	44	3	16	63	1285
2665729.java	5	34	13	47	1634
4465607.java	4	34	9	47	1780
4654137.java	30	9	13	52	2040
4781960.java	16	46	15	77	1673
5457327.java	9	3	4	16	245
6181232.java	172	0	46	218	5462
6573380.java	5	5	5	15	283
6595452.java	11	2	10	23	317
7037551.java	75	0	15	90	1814
8385356.java	80	4	22	103	2376
6530001.java	23	5	11	39	1018
9178211.java	629	67	106	777	27368
9446418.java	120	18	37	173	3456
10294733.java	88	2	16	106	3759
10376562.java	6	11	6	23	386
11281064.java	13	2	4	19	548
11394642.java	21	15	6	42	1038
6553362.java	9	23	12	44	1559
1417489.java	331	41	53	424	13336
496950.java	27	0	10	37	916
8186208.java	136	0	29	165	2866
4233363.java	8	61	13	81	2598
7117837.java	4	13	5	22	582
5681225.java	204	1	36	241	7793
10029915.java	305	21	32	358	14025
8268444.java	4	1	3	7	169
6519585.java	85	6	25	115	3178
10329224.java	26	2	6	34	925
2053727.java	72	3	23	98	2287
2606904.java	7	16	11	34	567
5899072.java	5	2	2	9	147
11530321.java	39	6	15	59	1751
3271191.java	15	30	11	56	1466
2915368.java	94	11	18	122	4494
343105.java	26	21	17	64	1447
3939136.java	164	15	16	195	6513
6019790.java	48	21	12	71	2618
5073651.java	13	36	13	62	2100
3229079.java	85	28	23	135	3925
1527092.java	40	13	21	74	1819
1366799.java	9	1	7	17	369
9818625.java	261	0	44	305	10658
6161.java	36	0	8	44	1316
8607136.java	285	0	25	310	10109
4699996.java	166	0	32	198	6534
4082435.java	185	9	46	240	4381
5445054.java	81	16	17	114	2843
10824477.java	9	0	6	15	234
6282284.java	21	82	41	144	3291
1196759.java	97	5	44	146	2493
6680358.java	44	0	10	54	1290
8001727.java	7	27	11	45	1465
7406564.java	7	25	6	38	1447
10526198.java	37	0	11	48	1663
714153.java	11	101	9	121	4168
8908540.java	751	5	107	863	39012
7225441.java	38	23	16	77	2868
425964.java	11	51	18	80	2481
11309883.java	220	3	51	274	8187
1578735.java	38	1	13	52	1444
5752932.java	718	26	148	881	26558
11716418.java	4	1	3	7	165
6595167.java	47	30	22	97	2977
3211594.java	30	5	4	39	1300
5379172.java	12	15	10	37	659
9867908.java	141	5	51	195	4522
2274677.java	296	10	77	383	14871
8884824.java	15	0	6	21	602
9191673.java	109	5	32	146	3888
8320809.java	6	15	8	29	815
10125796.java	91	2	26	119	3142
9863530.java	8	36	12	55	1938
6495818.java	1	2	2	5	55
10962868.java	7	0	2	9	173
6739023.java	5	7	6	18	338
8677677.java	54	3	16	73	1895
1357036.java	258	16	54	328	13806
58889.java	93	22	44	159	4383
5766698.java	1	2	2	5	56
8890028.java	8	12	16	24	1069
5224743.java	29	24	15	68	2170
2477673.java	70	38	30	138	3977
2773891.java	29	2	14	45	943
1561807.java	60	2	15	77	1319
4153832.java	17	32	19	64	1608
1454710.java	5	26	9	40	1263
10478633.java	53	8	19	80	2846
11284998.java	264	3	46	313	8875
11705260.java	4	1	3	7	170
1176161.java	15	5	4	24	634
4146924.java	4	29	4	37	806
7464902.java	4	8	6	18	207
467295.java	71	0	13	84	1656
9100807.java	19	13	15	46	671
8004832.java	255	28	38	321	11595
8620774.java	9	9	4	22	754
1260575.java	110	1	23	133	4048
9182062.java	197	1	36	233	5288
3739500.java	49	1	13	63	2318
216270.java	50	6	21	74	1471
8999928.java	33	15	12	59	1802
3995195.java	55	22	13	86	3641
1736473.java	229	26	20	275	9879
7410915.java	752	2	153	907	34100
8830933.java	256	0	150	406	9804
7062460.java	19	19	13	48	1576
11390879.java	22	5	11	38	769
4172182.java	120	4	18	142	4179
5988538.java	13	2	4	19	416
5591287.java	71	32	24	126	2822
2250562.java	237	2	41	280	6935
7781435.java	9	40	16	65	1663
10810410.java	463	35	47	545	17607
3671252.java	67	0	21	88	2529
7711915.java	10	13	18	33	906
6146877.java	20	5	13	38	665
4078433.java	100	40	18	158	4423
1645856.java	74	4	20	98	2747
9875184.java	4	1	3	7	173
11211859.java	9	17	5	31	1212
7044670.java	202	24	51	277	9891
3342218.java	7	29	9	45	1449
1304972.java	136	13	40	189	5227
164461.java	222	4	41	267	8059
5364119.java	98	13	8	106	5280
11994528.java	77	4	19	100	3420
7080437.java	21	35	15	71	1786
2148374.java	5	10	8	23	652
8009928.java	5	2	5	12	150
4698711.java	37	0	11	48	975
5148411.java	6	5	7	18	406
358579.java	101	1	29	131	2923
10040434.java	4	1	3	7	171
8351664.java	353	34	53	439	12250
11652391.java	34	5	11	50	1419
1200009.java	4	32	9	45	1911
2698069.java	19	5	4	28	784
253488.java	16	2	8	26	527
6970937.java	49	14	16	79	2010
3372875.java	82	11	15	106	3139
4482979.java	424	17	47	488	14391
1173726.java	176	14	39	229	8880
6713448.java	118	3	26	147	4944
6880509.java	62	8	19	84	2305
3927256.java	4	2	5	9	197
4378300.java	55	0	14	69	1893
9606803.java	35	7	15	57	1301
1419230.java	77	6	4	87	2006
3160057.java	12	0	5	17	418
10548664.java	118	3	34	155	3806
1097287.java	4	16	6	26	627
5555006.java	28	2	9	39	610
759851.java	242	7	33	281	8216
1305744.java	28	0	8	36	1281
639852.java	162	18	38	216	5008
3059469.java	1	4	4	9	142
7902748.java	85	0	21	106	2095
2047016.java	183	21	48	252	7185
1427985.java	10	5	5	20	543
11743704.java	35	12	19	65	1778
7159579.java	97	9	13	119	2416
1994450.java	43	1	11	54	1639
2893880.java	4	2	5	11	187
11257955.java	10	5	8	23	610
10569973.java	76	7	28	111	2578
483220.java	49	78	53	180	7777
2125374.java	46	0	10	56	1727
2273985.java	171	4	45	216	4739
1609156.java	122	0	15	137	3077
3341557.java	16	5	7	28	448
2316588.java	12	13	8	33	861
4379525.java	24	0	8	32	570
11076403.java	205	0	42	247	7335
6890380.java	437	5	105	547	13396
11573128.java	19	19	7	45	1044
925809.java	176	5	31	212	8115
9807536.java	60	0	14	74	2452
6353073.java	21	22	13	56	1421
2956701.java	68	105	59	232	4243
8783937.java	12	1	4	16	353
2357903.java	110	23	30	163	3098
10329339.java	41	24	12	77	2490
1848448.java	900	18	219	1136	46127
3167292.java	23	18	11	52	1284
6627843.java	33	2	8	43	827
5176345.java	12	38	12	62	1943
9060244.java	32	23	16	71	2528
3333985.java	868	60	97	1025	34314
1788103.java	86	59	30	175	4796
3551224.java	192	0	33	225	5898
6873374.java	151	0	19	170	6503
10461417.java	8	35	11	53	2036
5630202.java	101	4	32	137	4623
2940714.java	36	23	13	72	2417
2826291.java	14	31	12	55	1595
1578886.java	69	26	26	121	2920
10652863.java	30	34	26	84	1741
9343527.java	27	6	10	43	1085
9667676.java	91	41	19	151	5373
8505972.java	20	18	8	46	1518
3248186.java	79	1	15	95	3066
11762650.java	1	6	3	10	253
10845751.java	387	3	18	408	19719
7122588.java	67	13	18	98	3037
2024828.java	7	35	11	51	2230
1499681.java	14	72	25	111	3647
1124838.java	7	18	6	31	912
11945910.java	10	81	19	110	4052
1215744.java	21	31	18	70	1600
2620045.java	55	0	18	73	1551
7555146.java	4	20	6	30	961
11783779.java	13	42	10	65	2241
1131934.java	26	27	11	64	1968
4626569.java	64	0	26	90	2630
3008858.java	47	2	12	61	1647
11064814.java	81	12	18	111	2821
2849941.java	4	1	3	7	170
5991770.java	18	36	11	65	2133
5171322.java	57	8	7	71	2287
6317705.java	27	13	22	62	1456
1853797.java	4	5	3	12	198
